identificador|identificador_original|identificador_plano|identificador_tipo_patrocinadora|razao_social|nome_fantasia|identificador_pessoa|documento|identificador_tipo_documento|identificador_matriz|inicio_vigencia|final_vigencia
9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953|Código do Empregador: 9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELE CENTRO OESTE CELULAR PARTICIPAÇÕES S.A.|TELE CENTRO OESTE CELULAR PARTICIPAÇÕES S.A.||02558132000169|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269|Código do Empregador: 76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELE ACRE CELULAR S.A.|TELE ACRE CELULAR S.A.||02332982000144|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25|Código do Empregador: 7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEMS CELULAR|TELEMS CELULAR||02331492000123|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470|Código do Empregador: aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEMAT CELULAR S.A.|TELEMAT CELULAR S.A.||02340817000134|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9|Código do Empregador: 0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEBRASILIA CELULAR S.A.|TELEBRASILIA CELULAR S.A.||02320032000108|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103|Código do Empregador: d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELERON CELULAR S.A.|TELERON CELULAR S.A.||02337949000107|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9|Código do Empregador: 3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEGOIAS CELULAR S.A.|TELEGOIAS CELULAR S.A.||02341506000190|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617|Código do Empregador: 31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELESP CELULAR S.A.|TELESP CELULAR S.A.||02319126000159|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71|Código do Empregador: 98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|VIVO PARTICIPAÇÕES S.A.|VIVO PARTICIPAÇÕES S.A.||02558074000173|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f|Código do Empregador: 0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|NORTE BRASIL TELECOM S.A.|NORTE BRASIL TELECOM S.A.||02260778000165|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb|Código do Empregador: 1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|FUNDACAO TELEFONICA|FUNDACAO TELEFONICA||02985136000123|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa|Código do Empregador: 031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TERRA NETWORKS BRASIL S/A|TERRA NETWORKS BRASIL S/A||91088328000167|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d|Código do Empregador: 41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|VIVO S.A|VIVO S.A||02449992000164|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
2858dcd1057d3eae7f7d5f782167e24b61153c01551450a628cee722509f6529|Código do Empregador: 2858dcd1057d3eae7f7d5f782167e24b61153c01551450a628cee722509f6529||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELXIUS CABLE BRASIL LTDA|TELXIUS CABLE BRASIL LTDA||03199519000139|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e|Código do Empregador: 2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TPD - Telefonica Pesquisa e Desenvolvimento do Brasil LTDA|TPD - Telefonica Pesquisa e Desenvolvimento do Brasil LTDA||04218729000190|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc|Código do Empregador: 02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEMIG CELULAR PARTICIPAÇÕES SA|TELEMIG CELULAR PARTICIPAÇÕES SA||02558118000165|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866|Código do Empregador: 7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEMIG CELULAR SA|TELEMIG CELULAR SA||02320739000106|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
c837649cce43f2729138e72cc315207057ac82599a59be72765a477f22d14a54|Código do Empregador: c837649cce43f2729138e72cc315207057ac82599a59be72765a477f22d14a54||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|ATENTO BRASIL S/A|ATENTO BRASIL S/A||02879250000179|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
6208ef0f7750c111548cf90b6ea1d0d0a66f6bff40dbef07cb45ec436263c7d6|Código do Empregador: 6208ef0f7750c111548cf90b6ea1d0d0a66f6bff40dbef07cb45ec436263c7d6||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA TRANSPORTES E LOGISTICA LTDA|TELEFONICA TRANSPORTES E LOGISTICA LTDA||04819724000112|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
3e1e967e9b793e908f8eae83c74dba9bcccce6a5535b4b462bd9994537bfe15c|Código do Empregador: 3e1e967e9b793e908f8eae83c74dba9bcccce6a5535b4b462bd9994537bfe15c||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA CORRETORA DE SEGUROS LTDA|TELEFONICA CORRETORA DE SEGUROS LTDA||04772577000172|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9|Código do Empregador: 39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|SP TELECOMUNICACOES PARTICIPACOES LTDA|SP TELECOMUNICACOES PARTICIPACOES LTDA||01900954000113|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a|Código do Empregador: 81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA GLOBAL SOLUTIONS BRASIL LTDA|TELEFONICA GLOBAL SOLUTIONS BRASIL LTDA||14314117000154|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c|Código do Empregador: da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TVA SUL PARANA LTDA|TVA SUL PARANA LTDA||84938786000182|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
a68b412c4282555f15546cf6e1fc42893b7e07f271557ceb021821098dd66c1b|Código do Empregador: a68b412c4282555f15546cf6e1fc42893b7e07f271557ceb021821098dd66c1b||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA - SISTEMA DE TELEVISAO S/A|TELEFONICA - SISTEMA DE TELEVISAO S/A||05069728000193|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f|Código do Empregador: 108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|COMERCIAL CABO TV SÃO PAULO S/A|COMERCIAL CABO TV SÃO PAULO S/A||65791444000138|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
3ada92f28b4ceda38562ebf047c6ff05400d4c572352a1142eedfef67d21e662|Código do Empregador: 3ada92f28b4ceda38562ebf047c6ff05400d4c572352a1142eedfef67d21e662||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA ON THE SPOT SOLUCOES DIGITAIS DO BRASIL LTDA|TELEFONICA ON THE SPOT SOLUCOES DIGITAIS DO BRASIL LTDA||03865842000102|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
a21855da08cb102d1d217c53dc5824a3a795c1c1a44e971bf01ab9da3a2acbbf|Código do Empregador: a21855da08cb102d1d217c53dc5824a3a795c1c1a44e971bf01ab9da3a2acbbf||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|GVT PARTICIPAÇÕES S.A|GVT PARTICIPAÇÕES S.A||10242813000141|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4|Código do Empregador: c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|INNOWEB LTDA|INNOWEB LTDA||07621112000109|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a|Código do Empregador: ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|POP INTERNET LTDA|POP INTERNET LTDA||03809228000115|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8|Código do Empregador: 7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|GLOBAL VILLAGE TELECOM S.A.|GLOBAL VILLAGE TELECOM S.A.||03420926000124|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
eb624dbe56eb6620ae62080c10a273cab73ae8eca98ab17b731446a31c79393a|Código do Empregador: eb624dbe56eb6620ae62080c10a273cab73ae8eca98ab17b731446a31c79393a||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA INFRAESTRUTURA E SEGURANCA LTDA|TELEFONICA INFRAESTRUTURA E SEGURANCA LTDA||03441668000162|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac|Código do Empregador: f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELXIUS TORRES BRASIL LTDA|TELXIUS TORRES BRASIL LTDA||23842855000165|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980|Código do Empregador: f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|MAIS VISÃO|MAIS VISÃO||00000000000000|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73|Código do Empregador: a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA CIBERSEGURANCA E TECNOLOGIA DO BRASIL LTDA|TELEFONICA CIBERSEGURANCA E TECNOLOGIA DO BRASIL LTDA||19290938000111|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
98a3ab7c340e8a033e7b37b6ef9428751581760af67bbab2b9e05d4964a8874a|Código do Empregador: 98a3ab7c340e8a033e7b37b6ef9428751581760af67bbab2b9e05d4964a8874a||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFÔNICA CLOUD E TECNOLOGIA DO BRASIL S.A.|TELEFÔNICA CLOUD E TECNOLOGIA DO BRASIL S.A.||35473014000107|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38|Código do Empregador: a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|FIBRASIL INFRAESTRUTURA E FIBRA OTICA S.A|FIBRASIL INFRAESTRUTURA E FIBRA OTICA S.A||36619747000170|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7b7d125259255d6d2b875ea08|Código do Empregador: 1da51b8d8ff98f6a48f80ae79fe3ca6c26e1abb7b7d125259255d6d2b875ea08||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA IOT, BIG DATA E TECNOLOGIA DO BRASIL S.A.|TELEFONICA IOT, BIG DATA E TECNOLOGIA DO BRASIL S.A.||35308475000124|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d|Código do Empregador: 8241649609f88ccd2a0a5b233a07a538ec313ff6adf695aa44a969dbca39f67d||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|Visão Prev - Retirada|Visão Prev - Retirada||00000000000100|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d|Código do Empregador: 6e4001871c0cf27c7634ef1dc478408f642410fd3a444e2a88e301f5c4a35a4d||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|VITA IT COMÉRCIO E SERVIÇOS DE SOLUÇÕES EM TI LTDA|VITA IT COMÉRCIO E SERVIÇOS DE SOLUÇÕES EM TI LTDA||18261828000169|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
ad48ff99415b2f007dc35b7eb553fd1eb35ebfa2f2f308acd9488eeb86f71fa8|Código do Empregador: ad48ff99415b2f007dc35b7eb553fd1eb35ebfa2f2f308acd9488eeb86f71fa8||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|VALE SAUDE ADMINISTRADORA DE CARTOES S.A|VALE SAUDE ADMINISTRADORA DE CARTOES S.A||14336330000167|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
